2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 3: car at (202.0, 319.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:151 | Counter received 3 tracked objects
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 1: car at position (177.0, 323.5)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 2: car at position (302.5, 565.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 3: car at position (202.0, 319.0)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:84 | Detected 3 vehicles in frame
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [170, 317, 184, 330] (conf: 0.85)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [269, 531, 336, 599] (conf: 0.65)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [195, 314, 209, 324] (conf: 0.59)
2026-01-07 21:02:59 | INFO | tracker:update:143 | Tracking 3 objects
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 1: car at (177.0, 323.5)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 2: car at (302.5, 565.0)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 3: car at (202.0, 319.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:151 | Counter received 3 tracked objects
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 1: car at position (177.0, 323.5)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 2: car at position (302.5, 565.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 3: car at position (202.0, 319.0)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:84 | Detected 4 vehicles in frame
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [170, 318, 185, 330] (conf: 0.82)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [269, 531, 337, 599] (conf: 0.64)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [87, 326, 102, 337] (conf: 0.59)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [195, 315, 209, 325] (conf: 0.59)
2026-01-07 21:02:59 | INFO | tracker:update:143 | Tracking 3 objects
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 1: car at (177.5, 324.0)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 2: car at (303.0, 565.0)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 3: car at (202.0, 320.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:151 | Counter received 3 tracked objects
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 1: car at position (177.5, 324.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 2: car at position (303.0, 565.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 3: car at position (202.0, 320.0)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:84 | Detected 4 vehicles in frame
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [170, 318, 185, 331] (conf: 0.82)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [269, 531, 336, 599] (conf: 0.65)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [195, 315, 209, 325] (conf: 0.57)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [87, 326, 102, 337] (conf: 0.55)
2026-01-07 21:02:59 | INFO | tracker:update:143 | Tracking 4 objects
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 1: car at (177.5, 324.5)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 2: car at (302.5, 565.0)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 3: car at (202.0, 320.0)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 4: car at (94.5, 331.5)
2026-01-07 21:02:59 | INFO | counter:update_counts:151 | Counter received 4 tracked objects
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 1: car at position (177.5, 324.5)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 2: car at position (302.5, 565.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 3: car at position (202.0, 320.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 4: car at position (94.5, 331.5)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:84 | Detected 4 vehicles in frame
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [170, 319, 185, 331] (conf: 0.85)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [269, 531, 336, 599] (conf: 0.63)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [87, 327, 101, 338] (conf: 0.61)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [195, 315, 208, 325] (conf: 0.57)
2026-01-07 21:02:59 | INFO | tracker:update:143 | Tracking 4 objects
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 1: car at (177.5, 325.0)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 2: car at (302.5, 565.0)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 4: car at (94.0, 332.5)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 3: car at (201.5, 320.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:151 | Counter received 4 tracked objects
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 1: car at position (177.5, 325.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 2: car at position (302.5, 565.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 4: car at position (94.0, 332.5)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 3: car at position (201.5, 320.0)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:84 | Detected 3 vehicles in frame
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [170, 318, 184, 331] (conf: 0.84)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [268, 531, 336, 599] (conf: 0.65)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [195, 315, 208, 325] (conf: 0.56)
2026-01-07 21:02:59 | INFO | tracker:update:143 | Tracking 3 objects
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 1: car at (177.0, 324.5)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 2: car at (302.0, 565.0)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 3: car at (201.5, 320.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:151 | Counter received 3 tracked objects
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 1: car at position (177.0, 324.5)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 2: car at position (302.0, 565.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 3: car at position (201.5, 320.0)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:84 | Detected 3 vehicles in frame
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [170, 318, 185, 332] (conf: 0.81)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [268, 531, 336, 599] (conf: 0.65)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [195, 315, 208, 325] (conf: 0.52)
2026-01-07 21:02:59 | INFO | tracker:update:143 | Tracking 3 objects
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 1: car at (177.5, 325.0)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 2: car at (302.0, 565.0)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 3: car at (201.5, 320.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:151 | Counter received 3 tracked objects
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 1: car at position (177.5, 325.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 2: car at position (302.0, 565.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 3: car at position (201.5, 320.0)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:84 | Detected 3 vehicles in frame
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [170, 318, 185, 332] (conf: 0.82)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [268, 531, 336, 599] (conf: 0.65)
